vereador	nome_oficial	nome_urna	partido	cidade	ano	votos	status_match	score_nome	arquivo	link
GABRIEL BELEM DOS SANTOS	GABRIEL BELEM DOS SANTOS	GABRIEL BELÉM	PSB	JACAREÍ	2024	2971	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_gabriel_belem_dos_santos_jacarei_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_gabriel_belem_dos_santos_jacarei_2024.html
JEAN JOSÉ ALMEIDA ARAÚJO	JEAN JOSÉ ALMEIDA ARAÚJO	JEAN ARAÚJO	PP	JACAREÍ	2024	1348	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_jean_jose_almeida_araujo_jacarei_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_jean_jose_almeida_araujo_jacarei_2024.html
MARCELO DANTAS DE MEDEIROS	MARCELO DANTAS DE MEDEIROS	MARCELO DANTAS DO JACAREÍ TV	PODE	JACAREÍ	2024	1362	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_marcelo_dantas_de_medeiros_jacarei_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_marcelo_dantas_de_medeiros_jacarei_2024.html
MARIA AMÉLIA MACHADO MARCONDES DE OLIVEIRA	MARIA AMÉLIA MACHADO MARCONDES DE OLIVEIRA	MARIA AMÉLIA	PSDB	JACAREÍ	2024	1521	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_maria_amelia_machado_marcondes_de_oliveira_jacarei_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_maria_amelia_machado_marcondes_de_oliveira_jacarei_2024.html
ANA LUCIA SILVA MELLO	ANA LUCIA SILVA MELLO	LUCIA DA SAÚDE	PODE	LORENA	2024	578	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_ana_lucia_silva_mello_lorena_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_ana_lucia_silva_mello_lorena_2024.html
BRUNO LORENA NOGUEIRA DA SILVA	BRUNO LORENA NOGUEIRA DA SILVA	BRUNO LORENA	PSDB	LORENA	2024	1105	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_bruno_lorena_nogueira_da_silva_lorena_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_bruno_lorena_nogueira_da_silva_lorena_2024.html
DANIEL MONTEIRO COSTA	DANIEL MONTEIRO COSTA	DANIEL MUNDURUKU	PDT	LORENA	2024	684	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_daniel_monteiro_costa_lorena_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_daniel_monteiro_costa_lorena_2024.html
ELIDA DO AMARAL VIEIRA	ELIDA DO AMARAL VIEIRA	ELIDA VIEIRA	PODE	LORENA	2024	1274	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_elida_do_amaral_vieira_lorena_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_elida_do_amaral_vieira_lorena_2024.html
EDUARDO HIROSHI OTA	EDUARDO HIROSHI OTA	PROF EDUARDO OTA	PODE	MOGI DAS CRUZES	2024	1555	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_eduardo_hiroshi_ota_mogi_das_cruzes_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_eduardo_hiroshi_ota_mogi_das_cruzes_2024.html
FERNANDA MORENO DA SILVA	FERNANDA MORENO DA SILVA	FERNANDA MORENO	MDB	MOGI DAS CRUZES	2024	1948	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_fernanda_moreno_da_silva_mogi_das_cruzes_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_fernanda_moreno_da_silva_mogi_das_cruzes_2024.html
