nome_oficial,nome_urna,partido,cidade,ano,votos,link
CAMILO CRISTOFARO MARTINS JÚNIOR,CAMILO CRISTOFARO,PODE,SÃO PAULO,2024,6610,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_camilo_cristofaro_martins_junior_sao_paulo_2024.html
GEORGE VATUTIN HATO,GEORGE HATO,MDB,SÃO PAULO,2024,51574,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_george_vatutin_hato_sao_paulo_2024.html
GILBERTO NASCIMENTO SILVA JUNIOR,GILBERTO NASCIMENTO,PL,SÃO PAULO,2024,6136,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_gilberto_nascimento_silva_junior_sao_paulo_2024.html
ISAC FELIX DOS SANTOS,ISAC FÉLIX,PL,SÃO PAULO,2024,83058,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_isac_felix_dos_santos_sao_paulo_2024.html
JANAINA CARLA DE LIMA,JANAINA LIMA,PP,SÃO PAULO,2024,3612,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_janaina_carla_de_lima_sao_paulo_2024.html
JOAO JORGE DE SOUZA,JOÃO JORGE,MDB,SÃO PAULO,2024,33382,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_joao_jorge_de_souza_sao_paulo_2024.html
MARCELO MESSIAS DOS SANTOS COSTA,MARCELO MESSIAS,MDB,SÃO PAULO,2024,51898,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_marcelo_messias_dos_santos_costa_sao_paulo_2024.html
RINALDI CESAR DIGILIO,RINALDI DIGILIO,UNIÃO,SÃO PAULO,2024,18248,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_rinaldi_cesar_digilio_sao_paulo_2024.html
RUBENS ALBERTO GATTI NUNES,RUBINHO NUNES,UNIÃO,SÃO PAULO,2024,115062,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_rubens_alberto_gatti_nunes_sao_paulo_2024.html
SANSÃO PEREIRA FILHO,SANSÃO PEREIRA,REPUBLICANOS,SÃO PAULO,2024,50114,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_sansao_pereira_filho_sao_paulo_2024.html
DANIEL SIMÕES DA COSTA,DANIEL SIMÕES,PP,SÃO SEBASTIÃO,2024,878,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_daniel_simoes_da_costa_sao_sebastiao_2024.html
EDIVALDO PEREIRA CAMPOS,TEIMOSO,PSB,SÃO SEBASTIÃO,2024,835,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_edivaldo_pereira_campos_sao_sebastiao_2024.html
PEDRO RENATO DA SILVA,RENATO,PSDB,SÃO SEBASTIÃO,2024,1411,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_pedro_renato_da_silva_sao_sebastiao_2024.html
WAGNER TEIXEIRA DE OLIVEIRA,WAGNER TEIXEIRA,UNIÃO,SÃO SEBASTIÃO,2024,571,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_wagner_teixeira_de_oliveira_sao_sebastiao_2024.html
ARIEL PEREIRA KATZ,ARIEL KATZ,PDT,TAUBATÉ,2024,3830,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_ariel_pereira_katz_taubate_2024.html
DIEGO FONSECA NASCIMENTO,DIEGO FONSECA,PL,TAUBATÉ,2024,8844,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_diego_fonseca_nascimento_taubate_2024.html
JOÃO HENRIQUE DE MORAES RAMOS,JOÃO HENRIQUE DENTINHO,PP,TAUBATÉ,2024,1748,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_joao_henrique_de_moraes_ramos_taubate_2024.html
RICHARDSON RAMOS DE SOUSA,RICHARDSON DA PADARIA,UNIÃO,TAUBATÉ,2024,2456,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_richardson_ramos_de_sousa_taubate_2024.html
