nome_oficial,nome_urna,partido,cidade,ano,votos,link
RAFAEL AFONSO PASCUCCI,RAFAEL PASCUCCI,PSD,SÃO JOSÉ DOS CAMPOS,2024,9424,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_rafael_afonso_pascucci_sao_jose_dos_campos_2024.html
THOMAZ HENRIQUE BARBOSA DA SILVA,THOMAZ HENRIQUE,PL,SÃO JOSÉ DOS CAMPOS,2024,12860,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_thomaz_henrique_barbosa_da_silva_sao_jose_dos_campos_2024.html
AMANDA MARQUES PASCHOAL,AMANDA PASCHOAL,PSOL,SÃO PAULO,2024,136392,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_amanda_marques_paschoal_sao_paulo_2024.html
AMANDA VETTORAZZO CARNEIRO,AMANDA VETTORAZZO,UNIÃO,SÃO PAULO,2024,12214,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_amanda_vettorazzo_carneiro_sao_paulo_2024.html
ANA CAROLINA CUNHA DE OLIVEIRA FRANCOMANO,ANA CAROLINA OLIVEIRA,PODE,SÃO PAULO,2024,186622,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_ana_carolina_cunha_de_oliveira_francomano_sao_paulo_2024.html
CRISTINA PEREIRA MONTEIRO,CRIS MONTEIRO,NOVO,SÃO PAULO,2024,82860,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_cristina_pereira_monteiro_sao_paulo_2024.html
LUANA DOS SANTOS ALVES SILVA,LUANA ALVES,PSOL,SÃO PAULO,2024,87206,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_luana_dos_santos_alves_silva_sao_paulo_2024.html
LUNA ZARATTINI BRANDÃO,LUNA ZARATTINI,PT,SÃO PAULO,2024,131702,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_luna_zarattini_brandao_sao_paulo_2024.html
MARINA AMADEU BATISTA BRAGANTE,MARINA BRAGANTE,REDE,SÃO PAULO,2024,46772,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_marina_amadeu_batista_bragante_sao_paulo_2024.html
ZOE MARIA FERNANDEZ MARTINEZ,ZOE MARTINEZ,PL,SÃO PAULO,2024,50584,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_zoe_maria_fernandez_martinez_sao_paulo_2024.html
ALEX DAMASCENO REIS FRAMBA,PROFESSOR ALEX DAMASCENO,REPUBLICANOS,SÃO SEBASTIÃO,2024,1427,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_alex_damasceno_reis_framba_sao_sebastiao_2024.html
ANTONINO CARLOS SOARES,DANIEL SOARES,REPUBLICANOS,SÃO SEBASTIÃO,2024,1930,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_antonino_carlos_soares_sao_sebastiao_2024.html
HENRIANA PESSUTO CANDIDO LACERDA,HENRIANA LACERDA,REPUBLICANOS,SÃO SEBASTIÃO,2024,1219,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_henriana_pessuto_candido_lacerda_sao_sebastiao_2024.html
ARIEL PEREIRA KATZ,ARIEL KATZ,PDT,TAUBATÉ,2024,3830,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_ariel_pereira_katz_taubate_2024.html
MOISES LUCIANO PEREIRA DOS SANTOS,MOISES PIRULITO,PL,TAUBATÉ,2024,6688,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_moises_luciano_pereira_dos_santos_taubate_2024.html
NICOLA DI ANGELIS NETO,NICOLA NETO,NOVO,TAUBATÉ,2024,1486,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_nicola_di_angelis_neto_taubate_2024.html
RICHARDSON RAMOS DE SOUSA,RICHARDSON DA PADARIA,UNIÃO,TAUBATÉ,2024,2456,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_richardson_ramos_de_sousa_taubate_2024.html
