THOMAZ HENRIQUE BARBOSA DA SILVA | SÃO JOSÉ DOS CAMPOS | PL | 12860 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_thomaz_henrique_barbosa_da_silva_sao_jose_dos_campos_2024.html
AMANDA MARQUES PASCHOAL | SÃO PAULO | PSOL | 136392 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_amanda_marques_paschoal_sao_paulo_2024.html
AMANDA VETTORAZZO CARNEIRO | SÃO PAULO | UNIÃO | 12214 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_amanda_vettorazzo_carneiro_sao_paulo_2024.html
ANA CAROLINA CUNHA DE OLIVEIRA FRANCOMANO | SÃO PAULO | PODE | 186622 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_ana_carolina_cunha_de_oliveira_francomano_sao_paulo_2024.html
CRISTINA PEREIRA MONTEIRO | SÃO PAULO | NOVO | 82860 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_cristina_pereira_monteiro_sao_paulo_2024.html
LUANA DOS SANTOS ALVES SILVA | SÃO PAULO | PSOL | 87206 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_luana_dos_santos_alves_silva_sao_paulo_2024.html
LUNA ZARATTINI BRANDÃO | SÃO PAULO | PT | 131702 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_luna_zarattini_brandao_sao_paulo_2024.html
MARINA AMADEU BATISTA BRAGANTE | SÃO PAULO | REDE | 46772 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_marina_amadeu_batista_bragante_sao_paulo_2024.html
ZOE MARIA FERNANDEZ MARTINEZ | SÃO PAULO | PL | 50584 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_zoe_maria_fernandez_martinez_sao_paulo_2024.html
ALEX DAMASCENO REIS FRAMBA | SÃO SEBASTIÃO | REPUBLICANOS | 1427 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_alex_damasceno_reis_framba_sao_sebastiao_2024.html
ANTONINO CARLOS SOARES | SÃO SEBASTIÃO | REPUBLICANOS | 1930 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_antonino_carlos_soares_sao_sebastiao_2024.html
HENRIANA PESSUTO CANDIDO LACERDA | SÃO SEBASTIÃO | REPUBLICANOS | 1219 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_henriana_pessuto_candido_lacerda_sao_sebastiao_2024.html
ARIEL PEREIRA KATZ | TAUBATÉ | PDT | 3830 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_ariel_pereira_katz_taubate_2024.html
MOISES LUCIANO PEREIRA DOS SANTOS | TAUBATÉ | PL | 6688 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_moises_luciano_pereira_dos_santos_taubate_2024.html
NICOLA DI ANGELIS NETO | TAUBATÉ | NOVO | 1486 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_nicola_di_angelis_neto_taubate_2024.html
RICHARDSON RAMOS DE SOUSA | TAUBATÉ | UNIÃO | 2456 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_richardson_ramos_de_sousa_taubate_2024.html
